Detuning [MHz],Scattering_Rate/Gamma
-199.99999999999991,0.17848068617856855
-190.8167368340125,0.19016385969100819
-182.37658414946273,0.20281639181853414
-174.5903703912183,0.21219392372706344
-167.38262990913685,0.22485976216210943
-160.68906655719306,0.23697568505628402
-154.45456044197795,0.24101138214766374
-148.63158680020715,0.2521166144449864
-143.17895090182395,0.2602492411933246
-138.0607676611733,0.2734118876940957
-133.2456324576614,0.27732323557537686
-128.7059426293109,0.29048976798896353
-124.4173386353786,0.29558137357177655
-120.35824096700333,0.30582652383258424
-116.50946419786663,0.3109154210519197
-112.85389358816349,0.3179515138566619
-109.3762127245532,0.3267332058001357
-106.0626730401487,0.33186037337295793
-102.90089788893505,0.3373707155003831
-99.87971527773851,0.3411137915812564
-96.9890144815793,0.34868084138252714
-94.21962265607175,0.35182160097698556
-91.56319826683632,0.36565545060044763
-89.01213872099324,0.3673233314828678
-86.55950004038944,0.3709689064785501
-84.19892678378146,0.3762482134258491
-81.92459072387388,0.38422116448394744
-79.73113702895381,0.38896998545445216
-77.61363689882532,0.3876991742088244
-75.56754576943767,0.3994215601142212
-73.58866633679794,0.39690902309161463
-71.6731157638338,0.39991836817994614
-69.81729652810994,0.40737413956877117
-68.01787044712248,0.41233821655827246
-66.27173548405376,0.41275271392526774
-64.57600499258457,0.4153070539493755
-62.92798910643415,0.42296677688355083
-61.32517801919122,0.42442740908247334
-59.765226933911904,0.4283919821938347
-58.245942490869474,0.42743063091424705
-56.765270506555446,0.4306542899821047
-55.32128487821609,0.4318064042544568
-53.91217752641472,0.43467856484490525
-52.53624926379594,0.43578463693813974
-51.19190149177563,0.43845152124023157
-49.877628638608215,0.445158518443721
-48.59201126245918,0.4456859427922355
-47.3337097519592,0.44935671734375227
-46.101458564427894,0.450083736305067
-44.89406094868918,0.4524474310913434
-43.710384105292015,0.4557769518446921
-42.54935474211643,0.4548969692243639
-41.40995498788219,0.45833070309413043
-40.29121863007001,0.46106991836431227
-39.19222764728537,0.46150655365886273
-38.112109009203266,0.4647184372333397
-37.05003171998195,0.4625027603988567
-36.00520408346948,0.4591181303364873
-34.97687117068913,0.4712683199163993
-33.9643124720109,0.4685315774998273
-32.96683971812656,0.4660258702633815
-31.983794855470606,0.47017664336382253
-31.014548163090026,0.4703103540911586
-30.058496499182414,0.4751171399278298
-29.115061666610845,0.47389016295631065
-28.183688887679992,0.47555942745920304
-27.263845379333066,0.4807114413230582
-26.355019020716654,0.48085522009723464
-25.45671710576757,0.47641397501382904
-24.56846517411316,0.47878226224252374
-23.68980591415115,0.4800398849355658
-22.820298132692887,0.4870472455364595
-21.959515786022532,0.48294548792721487
-21.107047067647418,0.487122490939161
