Detuning [MHz],Scattering_Rate/Gamma
-199.99999999999997,0.1823681298082872
-179.99999999999997,0.2029454512259849
-159.99999999999997,0.23221084941478107
-139.99999999999997,0.271050194741694
-119.99999999999999,0.3070112562216007
-99.99999999999999,0.34861301454065524
-79.99999999999999,0.3841024675106715
-59.999999999999986,0.4233267537161941
-39.99999999999999,0.45454794360056455
-19.999999999999993,0.4803323881911385
4.743186923620368e-15,0.491849173982111
20.000000000000004,0.49193148468084114
40.0,0.4590513632890196
60.0,0.4241896618711202
80.0,0.3906863813696003
100.0,0.3420545357474279
119.99999999999999,0.3135060295956392
140.0,0.2764518490652167
160.0,0.24223980161712202
179.99999999999997,0.2070711130867919
199.99999999999997,0.17784104137813742
