Detuning [MHz],Scattering_Rate/Gamma
-199.99999999999997,0.18093940919642598
-199.79999999999998,0.17667668059266933
-199.59999999999997,0.1804608531454407
-199.39999999999998,0.18243112869787312
-199.19999999999996,0.17561170497133297
-198.99999999999997,0.1748571313555078
-198.79999999999998,0.17184496014876488
-198.59999999999997,0.18236754103361819
-198.39999999999998,0.17887116153906735
-198.19999999999996,0.18853224732820018
-197.99999999999997,0.17654573710627772
-197.79999999999998,0.1837641145485506
-197.59999999999997,0.18859253785430855
-197.39999999999998,0.18322621001092737
-197.19999999999996,0.18709186897789212
-196.99999999999997,0.18499959931403717
-196.79999999999998,0.1814419872539075
-196.59999999999997,0.1881794535465191
-196.39999999999998,0.18656208953070144
-196.19999999999996,0.1849675699720421
-195.99999999999997,0.1858347173045853
-195.79999999999998,0.1826953707693325
-195.59999999999997,0.187967023645934
-195.39999999999998,0.18576359332456685
-195.19999999999996,0.187992458711636
-194.99999999999997,0.18852471101243654
-194.79999999999998,0.186968461807264
-194.59999999999997,0.18760480946954852
-194.39999999999998,0.1864136005591728
-194.2,0.1940177431645923
-193.99999999999997,0.18793829144208554
-193.79999999999998,0.19468706220834237
-193.59999999999997,0.1869825923993206
-193.39999999999998,0.19719335821945713
-193.2,0.18799587360471634
-192.99999999999997,0.19653345957041155
-192.79999999999998,0.18639664384870488
-192.59999999999997,0.18632917027163431
-192.39999999999998,0.19239460915701828
-192.2,0.19066879284716584
-191.99999999999997,0.18909122999897446
-191.79999999999998,0.194496652480379
-191.59999999999997,0.19302106540486316
-191.39999999999998,0.18934746473493508
-191.2,0.1944812265840505
-190.99999999999997,0.19296736915504786
-190.79999999999998,0.18812964320951936
-190.59999999999997,0.197546269756072
-190.39999999999998,0.1872355299971347
-190.2,0.1930074058325417
-189.99999999999997,0.18752238101588473
-189.79999999999998,0.2003741544914095
-189.59999999999997,0.20094738550917432
-189.39999999999998,0.1988187295707735
-189.2,0.19131444314922103
-188.99999999999997,0.18976066679765838
-188.79999999999998,0.18892319370843416
-188.59999999999997,0.18926703811514597
-188.39999999999998,0.1990722559432566
-188.2,0.1878797672399842
-187.99999999999997,0.19262399576807118
-187.79999999999998,0.1965885688794325
-187.59999999999997,0.1980807594006149
-187.39999999999998,0.19909769100895852
-187.2,0.19217228784199364
-186.99999999999997,0.19621175309125508
-186.79999999999998,0.20253283793793064
-186.59999999999997,0.18928540788481962
-186.39999999999998,0.20346781211234574
-186.2,0.19829318930119985
-185.99999999999997,0.19534743187712325
-185.79999999999998,0.19730263479802856
-185.59999999999997,0.20448380168121907
-185.39999999999998,0.19932425150160024
-185.2,0.20180652550621886
-184.99999999999997,0.2031206705674874
-184.79999999999998,0.1923244272164702
-184.59999999999997,0.2066143416985607
-184.39999999999998,0.19641464484220184
-184.2,0.1993515706462431
-183.99999999999997,0.20632643088540645
-183.79999999999998,0.20489924108768454
-183.59999999999997,0.19980186551311507
-183.39999999999998,0.2095934237689043
-183.2,0.2007971302136386
-182.99999999999997,0.20648316270230138
-182.79999999999998,0.20241543626892666
-182.59999999999997,0.21059339866678
-182.39999999999998,0.20422568286631756
-182.2,0.19767379834938328
-181.99999999999997,0.2078378154607991
-181.79999999999998,0.20268921649002428
-181.59999999999997,0.20578946838725365
-181.39999999999998,0.2090993240666567
-181.2,0.20033034965603383
-180.99999999999997,0.2027551592529553
-180.79999999999998,0.20238682182001191
-180.59999999999997,0.20877384942961846
-180.39999999999998,0.19995482917212828
-180.2,0.20713281667210606
-179.99999999999997,0.20292225350402524
-179.79999999999998,0.2049364516467671
-179.59999999999997,0.21467572671194665
-179.39999999999998,0.20733865229639784
-179.2,0.21064615287712485
-178.99999999999997,0.2046819832348135
-178.79999999999998,0.2064630266086207
-178.59999999999997,0.20464736328427477
-178.39999999999998,0.20789056967114397
-178.2,0.20706498983023408
-177.99999999999997,0.20828869910234013
-177.79999999999998,0.21902653600618976
-177.59999999999997,0.20691708963337443
-177.39999999999998,0.20454503424679782
-177.2,0.2073499567700432
-176.99999999999997,0.21195700080024696
-176.79999999999998,0.2084333021610532
-176.59999999999997,0.21319389862493915
-176.39999999999998,0.21468985730400328
-176.2,0.2150944632565588
-175.99999999999997,0.21185714461637994
-175.79999999999998,0.20994998570846712
-175.59999999999997,0.208116305879249
-175.39999999999998,0.210559485245844
-175.2,0.21586140114043353
-174.99999999999997,0.21810039345181007
-174.79999999999998,0.21666814019193462
-174.59999999999997,0.2145425458818127
-174.39999999999998,0.2141796251758244
-174.2,0.21383601627898013
-173.99999999999997,0.21323723244057952
-173.79999999999998,0.21439688302869542
-173.59999999999997,0.21429796888429886
-173.39999999999998,0.22503062457106102
-173.2,0.2109490185668724
-172.99999999999997,0.22066050346767394
-172.79999999999998,0.21846037028445325
-172.59999999999997,0.21444492704168797
-172.39999999999998,0.21162870004479736
-172.2,0.22176739984544494
-171.99999999999997,0.21833272393620815
-171.79999999999998,0.22018712863377607
-171.59999999999997,0.20764198900588066
-171.39999999999998,0.22065956142820342
-171.2,0.21445340539692198
-170.99999999999997,0.2235661064593229
-170.79999999999998,0.22159500662235387
-170.59999999999997,0.22351064388550063
-170.39999999999998,0.21789938577980417
-170.2,0.22116955804651475
-169.99999999999997,0.22274806293417654
-169.79999999999998,0.2276184069963692
-169.59999999999997,0.21676988045474244
-169.39999999999998,0.21660078436979785
-169.2,0.22472634582210782
-168.99999999999997,0.2265981782498789
-168.79999999999998,0.21760688252423147
-168.59999999999997,0.2253692877606855
-168.39999999999998,0.22489061395476645
-168.2,0.22398778687728021
-167.99999999999997,0.2252071392168354
-167.79999999999998,0.22583653933802542
-167.59999999999997,0.22622513061958333
-167.39999999999998,0.2191546533741701
-167.2,0.23378170023174552
-166.99999999999997,0.21231544681875064
-166.79999999999998,0.2305070532775502
-166.59999999999997,0.2209634869123553
-166.39999999999998,0.22145746885966905
-166.2,0.2253182998743478
-165.99999999999997,0.22255400280326526
-165.79999999999998,0.2275015941020342
-165.59999999999997,0.2240452512849772
-165.39999999999998,0.22428452931046983
-165.2,0.22148667208325282
-164.99999999999997,0.23186924235181147
-164.79999999999998,0.22618744904076563
-164.59999999999997,0.2314901892198918
-164.39999999999998,0.2291505164401116
-164.2,0.22977520636394952
-163.99999999999997,0.2275632976873483
-163.79999999999998,0.2333799203976013
-163.59999999999997,0.21881316406613427
-163.39999999999998,0.227953773047847
-163.2,0.22162892004328977
-162.99999999999997,0.23101351724784738
-162.79999999999998,0.22794341061367215
-162.59999999999997,0.23381514263294623
-162.39999999999998,0.23383739831543546
-162.2,0.2332514497648196
-161.99999999999997,0.22986328705443593
-161.79999999999998,0.23280810243904218
-161.59999999999997,0.22909269876761318
-161.39999999999998,0.23529002317885928
-161.2,0.2343864895717702
-160.99999999999997,0.2394300511415906
-160.79999999999998,0.2285303012037584
-160.59999999999997,0.24070945849738662
-160.39999999999998,0.23929251337890584
-160.2,0.22725289568183715
-159.99999999999997,0.23750275613999708
-159.79999999999998,0.23405489167817412
-159.59999999999997,0.23165363306801373
-159.39999999999998,0.23241762707854335
-159.2,0.236910331068022
-158.99999999999997,0.2367491245636423
-158.79999999999998,0.2356535326595166
-158.59999999999997,0.23467381161025544
-158.39999999999998,0.23721826021992318
-158.2,0.24110275997629677
-157.99999999999997,0.24165479510597662
-157.79999999999998,0.2351117422090779
-157.59999999999997,0.23380619325797702
-157.39999999999998,0.2369201047275279
-157.2,0.25265499000234476
-156.99999999999997,0.23559748131102526
-156.79999999999998,0.24057380481364277
-156.59999999999997,0.24092789389959568
-156.39999999999998,0.23503508374717053
-156.2,0.2353039182610483
-155.99999999999997,0.23694130061561283
-155.79999999999998,0.24705833350844023
-155.59999999999997,0.242972708325127
-155.39999999999998,0.23803971863814985
-155.2,0.24351767815877856
-154.99999999999997,0.23949281452130883
-154.79999999999998,0.24459961049058287
-154.59999999999997,0.2483536377803
-154.39999999999998,0.24257422562912945
-154.2,0.24902813804113752
-153.99999999999997,0.25390743147829936
-153.79999999999998,0.24330666131739923
-153.59999999999997,0.2529427830605652
-153.39999999999998,0.24647839045944847
-153.2,0.25469733157426616
-152.99999999999997,0.24321669654797187
-152.79999999999998,0.2384772959721709
-152.59999999999997,0.2478063128479724
-152.39999999999998,0.24288474538957436
-152.2,0.24462457453654957
-151.99999999999997,0.24313097095616146
-151.79999999999998,0.25072628194154567
-151.59999999999997,0.2521387523725418
-151.39999999999998,0.25177653819615625
-151.2,0.24921984307337275
-150.99999999999997,0.25553138977041
-150.79999999999998,0.24319220352174034
-150.59999999999997,0.24624676650465316
-150.39999999999998,0.25130127928331747
-150.2,0.25250567674627944
-149.99999999999997,0.2538146405904607
-149.79999999999998,0.25083179036223524
-149.59999999999997,0.2534736223021601
-149.39999999999998,0.2536925287241044
-149.2,0.2591443466494282
-148.99999999999997,0.25308032082324994
-148.79999999999998,0.24911009547506613
-148.59999999999997,0.25656068564680334
-148.39999999999998,0.2495382524143826
-148.2,0.25919027107361237
-147.99999999999997,0.24661404414319232
-147.79999999999998,0.2564896794217187
-147.59999999999997,0.247087536732024
-147.39999999999998,0.2613132747751905
-147.2,0.26139087527656824
-146.99999999999997,0.2609443485675781
-146.79999999999998,0.2618883898718962
-146.59999999999997,0.2440692422687232
-146.39999999999998,0.2643442867713423
-146.2,0.26427363381105906
-145.99999999999997,0.25424939180607037
-145.79999999999998,0.25685884113919866
-145.59999999999997,0.2635317777280849
-145.39999999999998,0.26302072131536924
-145.2,0.25312177055994944
-144.99999999999997,0.25198001872177206
-144.79999999999998,0.26134153595930376
-144.6,0.2585176548917158
-144.39999999999998,0.25543212236121204
-144.2,0.2621814819021379
-143.99999999999997,0.25823186366737005
-143.79999999999998,0.25846077925868777
-143.6,0.27150755490459433
-143.39999999999998,0.2690285780381223
-143.2,0.26488772579085434
-142.99999999999997,0.26299481522993207
-142.79999999999998,0.27001112520579484
-142.6,0.2628497411514838
-142.39999999999998,0.26249682961486887
-142.2,0.27175766638399707
-141.99999999999997,0.2664153605471122
-141.79999999999998,0.2575888039738586
-141.6,0.2651902382158005
-141.39999999999998,0.25939057221601536
-141.2,0.27152215651638617
-140.99999999999997,0.25681880446170485
-140.79999999999998,0.2706347553352284
-140.6,0.265828469957026
-140.39999999999998,0.25674344130406934
-140.2,0.2709574038538553
-139.99999999999997,0.27328989358267325
-139.79999999999998,0.2627442327307941
-139.6,0.26941245912232803
-139.39999999999998,0.2663164464027157
-139.2,0.27437276795394794
-138.99999999999997,0.2661021324231898
-138.79999999999998,0.26690051087439054
-138.6,0.2763755438681108
-138.39999999999998,0.2755945931471132
-138.2,0.26295713365111434
-137.99999999999997,0.2785667276763622
-137.79999999999998,0.2849104214703284
-137.6,0.27077982941367673
-137.39999999999998,0.2702334465208195
-137.2,0.27435486920400953
-136.99999999999997,0.27642735603898516
-136.79999999999998,0.2752469805825195
-136.6,0.2732983719379073
-136.39999999999998,0.27936310429368844
-136.2,0.27369167341681744
-135.99999999999997,0.27457342236115245
-135.79999999999998,0.2766738171154399
-135.6,0.27423770304487316
-135.39999999999998,0.27755026708775377
-135.2,0.2810179143784561
-134.99999999999997,0.2776807395544102
-134.79999999999998,0.2789987705284944
-134.6,0.28073671559652874
-134.39999999999998,0.27177933329181725
-134.2,0.2788838417131003
-133.99999999999997,0.27964724694896087
-133.79999999999998,0.2875858135663878
-133.6,0.27911216852974907
-133.39999999999998,0.27803494639529697
-133.2,0.27821122553120364
-132.99999999999997,0.283042357200439
-132.79999999999998,0.2813425647309577
-132.6,0.28236691490013105
-132.39999999999998,0.2787348817218364
-132.2,0.27333369841804894
-131.99999999999997,0.27150519980591814
-131.79999999999998,0.28334946206780365
-131.6,0.28426889259095645
-131.39999999999998,0.2770001160370148
-131.2,0.282103732623076
-130.99999999999997,0.28504089393698484
-130.79999999999998,0.2860346278233688
-130.6,0.2871430550152794
-130.39999999999998,0.27368884729840615
-130.2,0.28504513311460183
-129.99999999999997,0.28741530442223756
-129.79999999999998,0.28549354390253284
-129.6,0.2915857131578906
-129.39999999999998,0.28492549410185547
-129.2,0.28617793557781007
-128.99999999999997,0.28849158451721924
-128.79999999999998,0.28664236103673874
-128.6,0.2884195184977303
-128.39999999999998,0.2950910420274107
-128.2,0.2896206188225457
-127.99999999999999,0.28652649018187415
-127.79999999999998,0.284421031965433
-127.59999999999998,0.29008975447882646
-127.39999999999998,0.29657381215388884
-127.19999999999999,0.29452016610832205
-126.99999999999999,0.2835827345916722
-126.79999999999998,0.28981938915080924
-126.59999999999998,0.2918846929348226
-126.39999999999998,0.2948140824231004
-126.19999999999999,0.2844690759784256
-125.99999999999999,0.2880233909004088
-125.79999999999998,0.2885925004954905
-125.59999999999998,0.30043770479684634
-125.39999999999998,0.2933496820662961
-125.19999999999999,0.2946756026209452
-124.99999999999999,0.29278339858962577
-124.79999999999998,0.2947099870616164
-124.59999999999998,0.29677776369923975
-124.39999999999998,0.3011653125328302
-124.19999999999999,0.30387414703009025
-123.99999999999999,0.30014072685378906
-123.79999999999998,0.29529734867143786
-123.59999999999998,0.2981536123458224
-123.39999999999998,0.29801842968181375
-123.19999999999999,0.2942870113393873
-122.99999999999999,0.3017215868401269
-122.79999999999998,0.29442925929942426
-122.59999999999998,0.3030489204539818
-122.39999999999998,0.29093193776540294
-122.19999999999999,0.2982416930363089
-121.99999999999999,0.29886108398812544
-121.79999999999998,0.30596547465447466
-121.59999999999998,0.30055451769118136
-121.39999999999998,0.30597878096199477
-121.19999999999999,0.3018530013462538
-120.99999999999999,0.29934858941407994
-120.79999999999998,0.29634583860204144
-120.59999999999998,0.30342149706454213
-120.39999999999998,0.29931891517076087
-120.19999999999999,0.3060535553449611
-119.99999999999999,0.2988606129683902
-119.79999999999998,0.3118508662460701
-119.59999999999998,0.3053620983736556
-119.39999999999998,0.3058227556747025
-119.19999999999999,0.3069635654734095
-118.99999999999999,0.3012642266772266
-118.79999999999998,0.30267069160659876
-118.59999999999998,0.30648406738295386
-118.39999999999998,0.3091145948492333
-118.19999999999999,0.3206287900316621
-117.99999999999999,0.3082780637994796
-117.79999999999998,0.30905018290044173
-117.59999999999998,0.3055123536691914
-117.39999999999998,0.31170343706894577
-117.19999999999999,0.3219688411783679
-116.99999999999999,0.3061972163642038
-116.79999999999998,0.31064222960549115
-116.59999999999998,0.30778361083243055
-116.39999999999998,0.3078537927729786
-116.19999999999999,0.29655402932500946
-115.99999999999999,0.31208307897553444
-115.79999999999998,0.3197935542861803
-115.59999999999998,0.30957548766014775
-115.39999999999998,0.30527072054502263
-115.19999999999999,0.319290151944162
-114.99999999999999,0.3175874156013355
-114.79999999999998,0.3219071375930539
-114.59999999999998,0.32234801206522146
-114.39999999999998,0.32735306777168754
-114.19999999999999,0.31386588867334864
-113.99999999999999,0.32245917272273367
-113.79999999999998,0.31626620524403853
-113.59999999999998,0.3222911364321934
-113.39999999999998,0.313101894662819
-113.19999999999999,0.31348860186543603
-112.99999999999999,0.31163855410041896
-112.79999999999998,0.3251006513978572
-112.59999999999998,0.3198440711527828
-112.39999999999998,0.32420006166411325
-112.19999999999999,0.3212273383601951
-111.99999999999999,0.32428331440231367
-111.79999999999998,0.320895740466599
-111.59999999999998,0.31605177350957886
-111.39999999999998,0.3289275689915999
-111.19999999999999,0.3208486384930769
-110.99999999999999,0.32472854580703203
-110.79999999999998,0.3227535600572473
-110.59999999999998,0.32398751400859443
-110.39999999999998,0.3277077456323095
-110.19999999999999,0.3254652206729188
-109.99999999999999,0.3266686760964103
-109.79999999999998,0.3274920185935779
-109.59999999999998,0.3306346622669772
-109.39999999999998,0.3244803184065702
-109.19999999999999,0.3265207758995507
-108.99999999999999,0.31819597309924197
-108.79999999999998,0.3245580366628818
-108.59999999999998,0.3328570511326871
-108.39999999999998,0.33222341183388004
-108.19999999999999,0.32145166150909454
-107.99999999999999,0.3261086336312317
-107.79999999999998,0.33141702604718054
-107.59999999999998,0.3256446791920383
-107.39999999999999,0.33980306141306804
-107.19999999999999,0.33115937825201425
-106.99999999999999,0.3300953446701484
-106.79999999999998,0.3367984265220887
-106.59999999999998,0.33609766691101256
-106.39999999999999,0.3236094029161452
-106.19999999999999,0.328764713918147
-105.99999999999999,0.329208885528461
-105.79999999999998,0.3205302291520669
-105.59999999999998,0.32153880016011055
-105.39999999999999,0.32863282839228486
-105.19999999999999,0.3327485988386523
-104.99999999999999,0.32853344322815314
-104.79999999999998,0.32991729921023455
-104.59999999999998,0.3350537694228275
-104.39999999999999,0.3339671268936709
-104.19999999999999,0.34214556031125953
-103.99999999999999,0.34320005574348716
-103.79999999999998,0.3388600799031542
-103.59999999999998,0.3275810413235348
-103.39999999999999,0.3497802014445347
-103.19999999999999,0.3369703487254446
-102.99999999999999,0.3460370076087276
-102.79999999999998,0.34462300636359194
-102.59999999999998,0.33688415211389905
-102.39999999999999,0.33441742176054284
-102.19999999999999,0.3411374603229513
-101.99999999999999,0.32709589099625647
-101.79999999999998,0.34050817795669497
-101.59999999999998,0.3305611831882826
-101.39999999999999,0.3370466539225505
-101.19999999999999,0.33946899066586206
-100.99999999999999,0.35072883519127124
-100.79999999999998,0.35138767404591253
-100.59999999999998,0.34171351745912737
-100.39999999999999,0.3410357200601433
-100.19999999999999,0.341502500617748
-99.99999999999999,0.34717169415087673
-99.79999999999998,0.3452731313531317
-99.59999999999998,0.3424808086078036
-99.39999999999999,0.35658596559875333
-99.19999999999999,0.34884381421091387
-98.99999999999999,0.354046698206173
-98.79999999999998,0.34222598693104855
-98.59999999999998,0.35740977911565613
-98.39999999999999,0.3505625652247379
-98.19999999999999,0.3443763097772696
-97.99999999999999,0.34450195429164
-97.79999999999998,0.3448820672179639
-97.59999999999998,0.3509800064650782
-97.39999999999999,0.3474853932945344
-97.19999999999999,0.3659653815862235
-96.99999999999999,0.35082209709884504
-96.79999999999998,0.3508767353881308
-96.59999999999998,0.35470800991442436
-96.39999999999999,0.35881812812396907
-96.19999999999999,0.34954563361639424
-95.99999999999999,0.35386252948970126
-95.79999999999998,0.35198787094351885
-95.59999999999998,0.3567723716589673
-95.39999999999999,0.352512469173622
-95.19999999999999,0.3564526670136856
-94.99999999999999,0.35117112272264434
-94.79999999999998,0.3643761609995854
-94.59999999999998,0.3513581175575274
-94.39999999999999,0.35987980660715885
-94.19999999999999,0.34728332582812427
-93.99999999999999,0.35977288512726346
-93.79999999999998,0.35570233257547734
-93.59999999999998,0.3601580615157411
-93.39999999999999,0.35397840034456585
-93.19999999999999,0.3546232263620844
-92.99999999999999,0.3651005893523564
-92.79999999999998,0.3513289143339436
-92.59999999999998,0.3673167372065745
-92.39999999999999,0.3516388453197195
-92.19999999999999,0.3532208828553955
-91.99999999999999,0.37004723861165495
-91.79999999999998,0.36025603362066716
-91.59999999999998,0.35975451535758984
-91.39999999999999,0.3581587004946586
-91.19999999999999,0.36447931432159897
-90.99999999999999,0.36312666339697597
-90.79999999999998,0.3698263303558359
-90.59999999999998,0.36505066126042285
-90.39999999999999,0.3667033517563822
-90.19999999999999,0.36352361527883403
-89.99999999999999,0.36728612092378526
-89.79999999999998,0.36229331173043494
-89.59999999999998,0.37226668360401977
-89.39999999999999,0.3715073997908423
-89.19999999999999,0.3692220120355464
-88.99999999999999,0.3656662840543578
-88.79999999999998,0.3662753125719994
-88.59999999999998,0.36645653741512596
-88.39999999999999,0.36720946246187786
-88.19999999999999,0.360264629730835
-87.99999999999999,0.37045702578129797
-87.79999999999998,0.3576570644766475
-87.59999999999998,0.36675481066245513
-87.39999999999999,0.37680213263447
-87.19999999999999,0.3635179630420114
-86.99999999999999,0.37087093437362406
-86.79999999999998,0.36433000106553365
-86.59999999999998,0.37252715751759746
-86.39999999999999,0.362599474558329
-86.19999999999999,0.3627398384394251
-85.99999999999999,0.3760439086156965
-85.79999999999998,0.3676309073699676
-85.59999999999998,0.3647925424455214
-85.39999999999999,0.3707726090038965
-85.19999999999999,0.37291198064127357
-84.99999999999999,0.3746302606353625
-84.79999999999998,0.36751974671245524
-84.59999999999998,0.3730942652788046
-84.39999999999999,0.37402170313745575
-84.19999999999999,0.3747626171809597
-83.99999999999999,0.3823417957404126
-83.79999999999998,0.385967234642414
-83.59999999999998,0.36525261097189926
