# Parameters: s0 = 100, tweezer = 700.0000000000001 nm, Rabi_freq = 1.2942117998855321e9 Hz, Gamma = 1.8302918799814135e8 Hz, N_shots = 500, pulse_duration = 4.854835435541005e-7 s, dt = 4.904124368593988e-11 s
Detuning [mHz],Scattering_Rate/Gamma
-2.0391e11,0.14851446950122935
-1.63128e11,0.19408027103444306
-1.2234600000000002e11,0.2555297779997535
-8.156400000000002e10,0.3310050309725288
-4.078200000000001e10,0.4216510421306758
-9.486373847239932e-6,0.4849616805441479
4.078199999999999e10,0.49083819635760784
8.156399999999998e10,0.4232914566747862
1.2234599999999998e11,0.3326741188430204
1.63128e11,0.2566744369128594
2.0391e11,0.1914501851491652
