Detuning [MHz],Scattering_Rate/Gamma
-199.99999999999991,0.18066904386840865
-198.09907901332988,0.18629019338854472
-196.23115277242457,0.18230866356671543
-194.39534549220417,0.18885159870868046
-192.59081208642274,0.18901315847786151
-190.8167368340125,0.1892976543979354
-189.07233211435482,0.1916221367912546
-187.35683720735668,0.19308559510858853
-185.66951715449176,0.2048314142458126
-184.00966167722328,0.20064028064180975
-182.37658414946273,0.20857978929870716
-180.76962062094162,0.203559660960714
-179.18812888857752,0.20520823003399005
-177.63148761310418,0.2050575037187191
-176.09909547841346,0.2097248382750312
-174.5903703912183,0.2191786753806664
-173.10474871879842,0.2145730444096683
-171.64168456273163,0.22119322678820963
-170.20064906664376,0.20990523883362114
-168.78112975613305,0.22132464129433652
-167.38262990913685,0.2234436413281653
-166.00466795511687,0.2269575663078531
-164.64677690153377,0.22431785395673678
-163.30850378617717,0.22732920087894312
-161.98940915400073,0.22814689113928796
-160.68906655719306,0.23316513539834033
-159.40706207728886,0.23697992423390102
-158.14299386819502,0.2369332932801141
-156.8964717190718,0.23744988417471843
-155.6671166360693,0.25066210550262175
-154.45456044197795,0.25182599526835453
-153.25844539290287,0.2537766057468416
-152.07842381112545,0.24736261225739348
-150.91415773335788,0.25229748602331153
-149.76531857364537,0.2556921252550545
-148.63158680020715,0.25231679783245564
-147.51265162554978,0.25477504983057775
-146.40821070922087,0.254350661049143
-145.31796987260523,0.2608689854099426
-144.24164282519868,0.25941412320277646
-143.17895090182395,0.25473972335043615
-142.12962281028175,0.25902741600015944
-141.0933943889565,0.2616373363530231
-140.07000837392232,0.26263071697460566
-139.05921417511675,0.278430131953148
-138.0607676611733,0.271908392699268
-137.0744309525253,0.2705580968733211
-136.09997222241097,0.27213259809323354
-135.13716550543126,0.2761080046585049
-134.1857905133271,0.2797316772364994
-133.2456324576614,0.28532115067944175
-132.31648187910463,0.2883173072151871
-131.39813448304008,0.2862462334394172
-130.4903909812163,0.2842127234875312
-129.5930569391896,0.29033232964246564
-128.7059426293109,0.28967243099342
-127.82886288902299,0.29017076987328455
-126.96163698424644,0.28646478659656005
-126.10408847764087,0.2955389817956066
-125.25604510154183,0.29588800741940596
-124.4173386353786,0.28627637870247136
-123.58780478739145,0.2893116298762402
-122.76728308047227,0.2959054351496091
-121.95561674196239,0.29952427977531754
-121.15265259724822,0.2985464428049973
-120.35824096700333,0.30005370595770675
-119.57223556793122,0.30704552290733805
-118.79449341687118,0.31283011627559604
-118.02487473813467,0.3110633212487794
-117.26324287394604,0.3115795588785824
-116.50946419786663,0.30398483666786735
-115.76340803108779,0.30820470247571874
-115.02494656148156,0.31105060371592846
-114.2939547653038,0.30559713722153126
-113.57031033144958,0.31932748025817836
-112.85389358816349,0.3088231513880649
-112.14458743211279,0.3122000096248032
-111.44227725973538,0.31272460785490636
-110.74685090077726,0.3227907706163298
-110.05819855393898,0.32237968814241513
-109.3762127245532,0.32779523754812684
-108.70078816421872,0.33570047951928683
-108.0318218123205,0.328405796879908
-107.36921273936584,0.32569072137115623
-106.71286209207318,0.3292949643850728
-106.0626730401487,0.32775308128182457
-105.41855072469173,0.3358271838280615
-104.7804022081707,0.3292206610218416
-104.148136425914,0.33564819632867726
-103.52166413906295,0.33934617226990293
-102.90089788893505,0.3407681808505374
-102.28575195274912,0.34884228339677437
-101.6761423006646,0.3354156303344116
-101.07198655408999,0.3380946728334189
-100.4732039452171,0.34004740290071434
-99.87971527773851,0.3441986175821572
-99.29144288870918,0.34291037860632584
-98.7083106115125,0.35033788881103717
-98.13024373989413,0.35098412788776134
-97.55716899302791,0.34946273414299517
-96.9890144815793,0.3440233982406547
-96.42570967473326,0.3555892878390241
-95.86718536815484,0.3443267349501375
-95.31337365285182,0.3582090996063274
-94.76420788490987,0.3469032129018003
-94.21962265607175,0.35526569728092683
-93.67955376513353,0.3544244560338208
