Detuning [mHz],Scattering_Rate/Gamma
-99.99999999999994,-1.523336008839524e-11
-91.2584169586757,-1.523336008839524e-11
-83.89030406147889,-1.523336008839524e-11
-77.59318672503007,-1.523336008839524e-11
-72.14732652850007,-1.523336008839524e-11
-67.38924271460952,-1.523336008839524e-11
-63.19479082873415,-1.523336008839524e-11
-59.46800238277215,-1.523336008839524e-11
-56.13352012638275,-1.523336008839524e-11
-53.131346303509105,-1.523336008839524e-11
-50.41311881549999,-1.523336008839524e-11
-47.939420668983765,-1.523336008839524e-11
-45.67780299385936,-1.523336008839524e-11
-43.601310187810036,-1.523336008839524e-11
-41.68736444087857,-1.523336008839524e-11
-39.91691146138326,-1.523336008839524e-11
-38.273758726068664,-1.523336008839524e-11
-36.74405746701562,-1.523336008839524e-11
-35.315893243581435,-1.523336008839524e-11
-33.97895944064127,-1.523336008839524e-11
-32.724294737466444,-1.523336008839524e-11
-31.544070386943215,-1.523336008839524e-11
-30.431416617275456,-1.523336008839524e-11
-29.38028001127871,-1.523336008839524e-11
-28.38530560031872,-1.523336008839524e-11
-27.441738816430462,-1.523336008839524e-11
-26.545343507000183,-1.523336008839524e-11
-25.69233302347063,-1.523336008839524e-11
-24.879312014541775,-1.523336008839524e-11
-24.10322703274952,-1.523336008839524e-11
-23.36132443572457,-1.523336008839524e-11
-22.651114355326293,-1.523336008839524e-11
-21.970339738105572,-1.523336008839524e-11
-21.316949643304625,-1.523336008839524e-11
-20.689076130495973,-1.523336008839524e-11
-20.085014186077075,-1.523336008839524e-11
-19.503204232343734,-1.523336008839524e-11
-18.94221683951203,-1.523336008839524e-11
-18.400739323518028,-1.523336008839524e-11
-17.877563963555613,-1.523336008839524e-11
-17.37157761535407,-1.523336008839524e-11
-16.88175253090828,-1.523336008839524e-11
-16.407138224149303,-1.523336008839524e-11
-15.946854245988375,-1.523336008839524e-11
-15.500083752167088,-1.523336008839524e-11
-15.06606776411042,-1.523336008839524e-11
-14.644100037078275,-1.523336008839524e-11
-14.23352246180817,-1.523336008839524e-11
-13.83372093591225,-1.523336008839524e-11
-13.44412164984181,-1.523336008839524e-11
-13.064187739513537,-1.523336008839524e-11
-12.693416263908803,-1.523336008839524e-11
-12.331335471281205,-1.523336008839524e-11
-11.977502322177891,-1.523336008839524e-11
-11.631500241414276,-1.523336008839524e-11
-11.292937074535828,-1.523336008839524e-11
-10.961443227236247,-1.523336008839524e-11
-10.63666996874619,-1.523336008839524e-11
-10.318287882417462,-1.523336008839524e-11
-10.005985448652606,-1.523336008839524e-11
-9.699467747009304,-1.523336008839524e-11
-9.39845526577727,-1.523336008839524e-11
-9.102682808611437,-1.523336008839524e-11
-8.811898488934093,-1.523336008839524e-11
-8.52586280381097,-1.523336008839524e-11
-8.24434777988044,-1.523336008839524e-11
-7.967136184686245,-1.523336008839524e-11
-7.694020797445784,-1.523336008839524e-11
-7.424803733889312,-1.523336008839524e-11
-7.159295820340385,-1.523336008839524e-11
-6.897316012682741,2.5622242620857214e-6
-6.638690856281176,4.804088828034319e-6
-6.383253983299964,1.4385779025947146e-5
-6.130845644197606,8.329762642339559e-5
-5.881312270475944,0.014513299786301712
-5.634506066029158,0.014792300993443093
-5.390284624677451,0.01567044539545161
-5.148510571684578,0.016609000790080358
-4.909051227250493,0.017583657479651547
-4.671778290142878,0.018611985769224945
-4.436567539786068,0.019732047040359087
-4.203298555265071,0.020841876112200005
-3.971854449827397,0.02209552740942901
-3.7421216195779605,0.023337876911064596
-3.513989505163401,0.024667387312043
-3.2873503653332703,0.026069415118270833
-3.062099061347305,0.027451434210253273
-2.8381328512715767,0.02892256624882374
-2.6153511932723794,0.030406851858079453
-2.393655557075889,0.03192213412173433
-2.172949242814726,0.03341641782860257
-1.9531372065298502,0.03485204600547925
-1.7341258916383693,0.03630990516270093
-1.515823065715235,0.037634708092056116
-1.2981376619697103,0.03880329592581034
-1.0809796248263057,0.04003339982570876
-0.8642597590449113,0.0409550072665765
-0.647889581836178,0.041709051779852395
-0.431781177446227,0.04232726064276171
-0.2158470536994742,0.04261549956701815
0.0,0.04279511139173998
0.2158470536994742,0.042649890795779494
0.431781177446227,0.04228339159567411
0.647889581836178,0.04174303808030086
0.8642597590449113,0.041000435431657455
1.0809796248263057,0.039937218752227374
1.2981376619697103,0.038906287266363554
1.515823065715235,0.03765578448275191
1.7341258916383693,0.03624174773626732
1.9531372065298502,0.0349013885042494
2.172949242814726,0.03338086849046752
2.393655557075889,0.031916576836612094
2.6153511932723794,0.030383491006151037
2.8381328512715767,0.028890626108255834
3.062099061347305,0.027442639578465183
3.2873503653332703,0.0260553790166468
3.513989505163401,0.02468104264346367
3.7421216195779605,0.023361040498429693
3.971854449827397,0.022111980041950703
4.203298555265071,0.020892641859595745
4.436567539786068,0.019707133389942788
4.671778290142878,0.018613731992576616
4.909051227250493,0.0175562801820246
5.148510571684578,0.01659321414544268
5.390284624677451,0.01568233326518259
5.634506066029158,0.01482528797209211
5.881312270475944,0.014503951197862741
6.130845644197606,8.39647742166557e-5
6.383253983299964,1.4385779025947146e-5
